City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Victoria,HK,22.29,114.16,82.0,90,0,4.79,light rain
133,Lagoa,PT,39.05,-27.98,74.25,88,100,5.1,light rain
134,Grindavik,IS,63.84,-22.43,48.2,81,75,10.29,shower rain
135,Tual,ID,-5.67,132.75,79.68,80,94,23.15,overcast clouds
136,Taywarah,AF,33.35,64.42,44.19,60,0,5.3,clear sky
137,Saint George,US,37.1,-113.58,104.0,11,1,16.11,clear sky
138,Pontarlier,FR,46.83,6.25,69.01,66,10,2.24,clear sky
139,Porosozero,RU,62.72,32.73,44.42,90,0,1.61,clear sky
140,Ambilobe,MG,-13.2,49.05,64.71,86,70,4.29,broken clouds
141,Bilibino,RU,68.05,166.44,43.25,76,100,2.73,overcast clouds
142,Dunedin,NZ,-45.87,170.5,48.0,64,5,20.0,clear sky
143,Ribeira Grande,PT,38.52,-28.7,74.93,87,95,11.21,overcast clouds
144,Atuona,PF,-9.8,-139.03,78.87,74,65,18.16,broken clouds
145,Lerwick,GB,60.15,-1.15,46.4,87,40,8.05,scattered clouds
146,Manta,EC,-0.95,-80.73,77.0,78,40,11.41,scattered clouds
147,Azad Shahr,IR,34.79,48.57,59.0,38,0,2.24,clear sky
148,Yuganets,RU,56.25,43.23,61.0,100,20,5.68,few clouds
149,Kichera,RU,55.94,110.1,58.96,59,98,5.26,overcast clouds
150,Ardahan,TR,41.11,42.7,50.47,78,39,1.05,scattered clouds
151,Barra Patuca,HN,15.8,-84.28,83.64,78,100,11.77,overcast clouds
152,Hefei,CN,31.86,117.28,73.4,100,99,2.24,mist
153,Airai,TL,-8.93,125.41,62.19,67,3,5.95,clear sky
154,Svetlogorsk,BY,52.63,29.73,57.0,97,64,9.17,broken clouds
155,Yulara,AU,-25.24,130.99,59.0,30,0,8.05,clear sky
156,Tall Kayf,TR,37.08,41.07,78.98,24,0,8.48,clear sky
157,Savelugu,GH,9.62,-0.83,75.88,89,99,4.88,moderate rain
158,Chardara,KZ,41.25,67.97,66.47,62,0,10.63,clear sky
159,Banda Aceh,ID,5.56,95.32,79.09,79,100,3.04,overcast clouds
160,Ketchikan,US,55.34,-131.65,60.8,72,90,11.41,overcast clouds
161,Gat,IL,31.61,34.76,75.99,67,0,2.98,clear sky
162,Launceston,AU,-41.45,147.17,54.0,75,6,10.29,clear sky
163,Kapaa,US,22.08,-159.32,86.0,58,20,12.75,few clouds
164,The Valley,AI,18.22,-63.06,86.0,70,40,13.87,scattered clouds
165,Acari,PE,-15.43,-74.62,64.33,68,57,5.28,broken clouds
166,Cayenne,GF,4.93,-52.33,82.4,78,40,8.05,scattered clouds
